address,area,direction,furniture,numBath,numBed,numFloor,price,property_back,property_road,type,type_detail,url
"1, Đường Trần Cung, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội",53.0,Nam,Nội thất cao cấp,3,3,3,4.6,,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-bac-tu-liem/mua-ban-nha-dat/89389415.htm
"Đường Quang Trung, Phường Quang Trung, Quận Hà Đông, Hà Nội",60.0,,,2,4,,4.49,Nở hậu,Hẻm xe hơi,Nhà ở,Nhà mặt phố,https://nha.chotot.com/ha-noi/quan-ha-dong/mua-ban-nha-dat/89237871.htm
"Đường Lê Trọng Tấn, Phường Khương Mai, Quận Thanh Xuân, Hà Nội",32.0,,Nội thất cao cấp,4,3,,2.9,Nở hậu,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-thanh-xuan/mua-ban-nha-dat/89389585.htm
"699, Đường Vũ Tông Phan, Phường Khương Đình, Quận Thanh Xuân, Hà Nội",30.0,,,4,3,5,3.65,,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-thanh-xuan/mua-ban-nha-dat/89024401.htm
"Đường Lĩnh Nam, Phường Vĩnh Hưng, Quận Hoàng Mai, Hà Nội",35.0,Bắc,,3,4,5,3.1,Nở hậu,Hẻm xe hơi,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-hoang-mai/mua-ban-nha-dat/89386567.htm
"Đường Chợ Khâm Thiên, Phường Trung Phụng, Quận Đống Đa, Hà Nội",60.0,,,Nhiều hơn 6 phòng,8,,3.6,,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-dong-da/mua-ban-nha-dat/89138154.htm
"Đường Lạc Long Quân, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội",54.0,,Nội thất cao cấp,3,4,4,4.6,,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-cau-giay/mua-ban-nha-dat/89383021.htm
"Đường Tả Thanh Oai, Xã Tả Thanh Oai, Huyện Thanh Trì, Hà Nội",45.0,,,1,1,2,2.55,,Hẻm xe hơi,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/huyen-thanh-tri/mua-ban-nha-dat/89383355.htm
"Đường Tam Trinh, Phường Minh Khai, Quận Hai Bà Trưng, Hà Nội",33.0,,,4,5,,3.4,,Hẻm xe hơi,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-hai-ba-trung/mua-ban-nha-dat/88354434.htm
"Đường Minh Khai, Phường Bách Khoa, Quận Hai Bà Trưng, Hà Nội",34.0,,,4,5,,3.48,Nở hậu,Hẻm xe hơi,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-hai-ba-trung/mua-ban-nha-dat/87433967.htm
"Đường Nguyễn An Ninh, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội",40.0,,,4,4,,4.3,,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-cau-giay/mua-ban-nha-dat/89383986.htm
"Phạm Tuấn Tài, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội",45.5,,,6,6,5,8.8,,Hẻm xe hơi,Nhà ở,Nhà mặt phố,https://nha.chotot.com/ha-noi/quan-cau-giay/mua-ban-nha-dat/89384063.htm
"Đường Tôn Đức Thắng, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội",50.0,,Nội thất đầy đủ,,3,4,6.45,,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-dong-da/mua-ban-nha-dat/89384108.htm
"Đường Phố Trạm, Phường Thạch Bàn, Quận Long Biên, Hà Nội",30.0,,,3,3,,3.3,,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-long-bien/mua-ban-nha-dat/89384200.htm
"Đường Hồng Mai, Phường Quỳnh Mai, Quận Hai Bà Trưng, Hà Nội",15.0,,Nội thất cao cấp,4,3,,1.3,,Hẻm xe hơi,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-hai-ba-trung/mua-ban-nha-dat/89384211.htm
"Thành Phố Giao Lưu, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội",119.0,,,5,5,7,33.0,,,Nhà ở,Nhà biệt thự,https://nha.chotot.com/ha-noi/quan-bac-tu-liem/mua-ban-nha-dat/89384271.htm
"Đường Thịnh Hào 1, Phường Hàng Bột, Quận Đống Đa, Hà Nội",58.0,,Hoàn thiện cơ bản,4,6,6,10.2,,Hẻm xe hơi,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-dong-da/mua-ban-nha-dat/88716903.htm
"Đường Thái Hà, Phường Trung Liệt, Quận Đống Đa, Hà Nội",61.0,,Nội thất đầy đủ,Nhiều hơn 6 phòng,9,5,7.25,,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-dong-da/mua-ban-nha-dat/89384293.htm
"Đường Kim Ngưu, Phường Thanh Lương, Quận Hai Bà Trưng, Hà Nội",50.0,,,3,4,4,4.85,,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-hai-ba-trung/mua-ban-nha-dat/89384300.htm
"Đường Cổ Nhuế, Phường Cổ Nhuế 2, Quận Bắc Từ Liêm, Hà Nội",52.0,Bắc,,3,4,,3.8,,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-bac-tu-liem/mua-ban-nha-dat/89384310.htm
"Đường Tư Đình, Phường Long Biên, Quận Long Biên, Hà Nội",40.0,,Nội thất cao cấp,4,3,5,3.95,,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-long-bien/mua-ban-nha-dat/89384404.htm
"Đường Phố Vọng, Phường Đồng Tâm, Quận Hai Bà Trưng, Hà Nội",77.0,,Nội thất cao cấp,4,2,5,6.4,,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-hai-ba-trung/mua-ban-nha-dat/89384440.htm
"Đường Gia Thụy, Phường Gia Thụy, Quận Long Biên, Hà Nội",45.0,,Nội thất đầy đủ,,4,,11.8,Nở hậu,Hẻm xe hơi,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-long-bien/mua-ban-nha-dat/89384656.htm
"Đường Nguyên Hồng, Phường Láng Hạ, Quận Đống Đa, Hà Nội",57.0,,,6,5,6,20.0,,,Nhà ở,Nhà mặt phố,https://nha.chotot.com/ha-noi/quan-dong-da/mua-ban-nha-dat/88345678.htm
"Phố 8/3, Phường Thanh Nhàn, Quận Hai Bà Trưng, Hà Nội",35.0,,,3,3,5,3.95,,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-hai-ba-trung/mua-ban-nha-dat/89384772.htm
"Đường Đa Tốn, Xã Đông Dư, Huyện Gia Lâm, Hà Nội",35.0,,,5,4,,1.93,,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/huyen-gia-lam/mua-ban-nha-dat/89384852.htm
"Đường Bát Khối, Phường Long Biên, Quận Long Biên, Hà Nội",32.0,,,4,3,5,2.4,,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-long-bien/mua-ban-nha-dat/88284637.htm
"Số nhà 30A, ngõ 12, Phố Phương Liệt, Phường Phương Liệt, Quận Thanh Xuân, Hà Nội",24.0,,,1,2,3,2.05,,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-thanh-xuan/mua-ban-nha-dat/89385357.htm
"Đường Cao Lỗ, Thị trấn Đông Anh, Huyện Đông Anh, Hà Nội",42.0,,Hoàn thiện cơ bản,2,2,,6.8,,,Nhà ở,Nhà mặt phố,https://nha.chotot.com/ha-noi/huyen-dong-anh/mua-ban-nha-dat/89386052.htm
"Đường Nguyễn Ngọc Vũ, Phường Trung Hoà, Quận Cầu Giấy, Hà Nội",38.0,,,4,3,4,3.7,,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-cau-giay/mua-ban-nha-dat/89385764.htm
"Đường Xuân Đỉnh, Phường Xuân Đỉnh, Quận Bắc Từ Liêm, Hà Nội",40.0,,,,5,,5.23,,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-bac-tu-liem/mua-ban-nha-dat/89067905.htm
"Triều Khúc, Phường Thanh Xuân Nam, Quận Thanh Xuân, Hà Nội",50.0,,,4,4,,3.85,,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-thanh-xuan/mua-ban-nha-dat/89083077.htm
"Đường Yên Lãng, Phường Thịnh Quang, Quận Đống Đa, Hà Nội",118.0,,,Nhiều hơn 6 phòng,7,,19.5,,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-dong-da/mua-ban-nha-dat/89385146.htm
"28a, Lĩnh Nam, Phường Vĩnh Hưng, Quận Hoàng Mai, Hà Nội",28.0,Nam,Nội thất đầy đủ,3,2,4,1.85,,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-hoang-mai/mua-ban-nha-dat/89385845.htm
"Đường Nguyễn Văn Linh, Phường Thạch Bàn, Quận Long Biên, Hà Nội",48.0,Đông Bắc,,4,6,4,4.1,Nở hậu,Hẻm xe hơi,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-long-bien/mua-ban-nha-dat/88372373.htm
"Đường Bùi Xương Trạch, Phường Khương Đình, Quận Thanh Xuân, Hà Nội",47.0,,,3,4,,4.3,,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-thanh-xuan/mua-ban-nha-dat/89385841.htm
"Đường Phạm Văn Đồng, Phường Xuân Đỉnh, Quận Bắc Từ Liêm, Hà Nội",66.0,,,4,4,5,5.9,,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-bac-tu-liem/mua-ban-nha-dat/89386155.htm
"Đường Lê Quang Đạo, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",30.0,,Nội thất đầy đủ,3,3,4,3.8,,Hẻm xe hơi,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-nam-tu-liem/mua-ban-nha-dat/89386266.htm
"Đường Giếng Mứt, Phường Bạch Mai, Quận Hai Bà Trưng, Hà Nội",38.0,,,3,3,5,3.85,,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-hai-ba-trung/mua-ban-nha-dat/89386282.htm
"Đường Nguyễn Lương Bằng, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội",25.0,,Nội thất cao cấp,4,4,4,2.65,,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-dong-da/mua-ban-nha-dat/89386287.htm
"hồ 2 bồ đề, Đường Bồ Đề, Phường Bồ Đề, Quận Long Biên, Hà Nội",35.0,,,4,3,4,3.0,,Hẻm xe hơi,Nhà ở,Nhà mặt phố,https://nha.chotot.com/ha-noi/quan-long-bien/mua-ban-nha-dat/89386380.htm
"84/9, Đường Tứ Liên, Phường Tứ Liên, Quận Tây Hồ, Hà Nội",65.5,,Hoàn thiện cơ bản,4,5,5,5.15,,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-tay-ho/mua-ban-nha-dat/89386406.htm
"11, Đường Phương Liệt, Phường Phương Liệt, Quận Thanh Xuân, Hà Nội",50.0,Tây,Nội thất cao cấp,4,3,5,6.0,Nở hậu,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-thanh-xuan/mua-ban-nha-dat/89325819.htm
"Đường Văn Nội, Phường Phú Lương, Quận Hà Đông, Hà Nội",34.0,Bắc,Nội thất đầy đủ,3,4,4,2.0,Nở hậu,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-ha-dong/mua-ban-nha-dat/88886236.htm
"Đường Đường Láng, Phường Láng Thượng, Quận Đống Đa, Hà Nội",38.0,,Nội thất đầy đủ,3,4,4,5.8,,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-dong-da/mua-ban-nha-dat/89386697.htm
"Đường Lê Xuân Điệp, Phường Kiến Hưng, Quận Hà Đông, Hà Nội",65.0,,Nội thất đầy đủ,4,5,4,6.8,,,Nhà ở,Nhà phố liền kề,https://nha.chotot.com/ha-noi/quan-ha-dong/mua-ban-nha-dat/89386705.htm
"Đường Minh Khai, Quận Hai Bà Trưng, Hà Nội",41.0,,,4,4,4,5.6,,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-hai-ba-trung/mua-ban-nha-dat/89386741.htm
"Đường Đại lộ Thăng Long, Phường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội",250.0,Tây Nam,Hoàn thiện cơ bản,3,6,3,3.999999999,,,Nhà ở,Nhà biệt thự,https://nha.chotot.com/ha-noi/quan-nam-tu-liem/mua-ban-nha-dat/89386869.htm
"Đường Trần Quang Diệu, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội",120.0,,Nội thất đầy đủ,4,4,,3.25,Nở hậu,,Nhà ở,Nhà mặt phố,https://nha.chotot.com/ha-noi/quan-dong-da/mua-ban-nha-dat/89242923.htm
"Đường Trương Định, Phường Tương Mai, Quận Hoàng Mai, Hà Nội",33.0,,Nội thất đầy đủ,3,4,5,2.45,,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-hoang-mai/mua-ban-nha-dat/89029314.htm
"tràng cát, Xã Kim An, Huyện Thanh Oai, Hà Nội",122.0,Đông Nam,,2,3,,1.65,,Hẻm xe hơi,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/huyen-thanh-oai/mua-ban-nha-dat/89387438.htm
"Đường Hoàng Mai, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội",36.0,,,3,4,,2.6,Nở hậu,Hẻm xe hơi,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-hoang-mai/mua-ban-nha-dat/89387649.htm
"Đường Trường Chinh, Phường Khương Thượng, Quận Đống Đa, Hà Nội",360.0,Tây Nam,Hoàn thiện cơ bản,Nhiều hơn 6 phòng,10,,138.0,,,Nhà ở,Nhà mặt phố,https://nha.chotot.com/ha-noi/quan-dong-da/mua-ban-nha-dat/86215097.htm
"Bồ đề Long Biên, Đường Bồ Đề, Phường Bồ Đề, Quận Long Biên, Hà Nội",34.0,,,4,3,5,3.2,,Hẻm xe hơi,Nhà ở,Nhà mặt phố,https://nha.chotot.com/ha-noi/quan-long-bien/mua-ban-nha-dat/89387841.htm
"đường kim ngưu, Phường Thanh Nhàn, Quận Hai Bà Trưng, Hà Nội",67.0,,,2,4,3,5.15,,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-hai-ba-trung/mua-ban-nha-dat/89388036.htm
"Đường Chùa Bộc, Phường Quang Trung, Quận Đống Đa, Hà Nội",55.0,,Nội thất cao cấp,5,5,5,6.2,,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-dong-da/mua-ban-nha-dat/89387946.htm
"Đường Phù Đổng Thiên Vương, Phường Ngô Thì Nhậm, Quận Hai Bà Trưng, Hà Nội",90.0,Đông,Hoàn thiện cơ bản,Nhiều hơn 6 phòng,5,8,43.0,,,Nhà ở,Nhà mặt phố,https://nha.chotot.com/ha-noi/quan-hai-ba-trung/mua-ban-nha-dat/83640913.htm
"Đường Lạc Long Quân, Phường Bưởi, Quận Tây Hồ, Hà Nội",40.0,,,Nhiều hơn 6 phòng,nhiều hơn 10 phòng,7,6.2,,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-tay-ho/mua-ban-nha-dat/89388344.htm
"Đường Giải Phóng, Phường Phương Liệt, Quận Thanh Xuân, Hà Nội",45.0,,Nội thất đầy đủ,4,4,5,7.0,Nở hậu,Hẻm xe hơi,Nhà ở,Nhà phố liền kề,https://nha.chotot.com/ha-noi/quan-thanh-xuan/mua-ban-nha-dat/89388291.htm
"phố Tháo Thịnh, Phường Thịnh Quang, Quận Đống Đa, Hà Nội",45.0,,,3,4,,4.3,,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-dong-da/mua-ban-nha-dat/89388328.htm
"Đường Đầm Trấu, Quận Hai Bà Trưng, Hà Nội",44.0,,,4,4,5,13.1,,,Nhà ở,Nhà mặt phố,https://nha.chotot.com/ha-noi/quan-hai-ba-trung/mua-ban-nha-dat/89388359.htm
"Đường Trần Duy Hưng, Phường Trung Hoà, Quận Cầu Giấy, Hà Nội",53.5,Đông Nam,Nội thất cao cấp,4,4,,28.3,,,Nhà ở,Nhà mặt phố,https://nha.chotot.com/ha-noi/quan-cau-giay/mua-ban-nha-dat/85077375.htm
"Đường Hoàng Văn Thái, Phường Khương Trung, Quận Thanh Xuân, Hà Nội",60.0,,Nội thất cao cấp,4,4,4,6.8,,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-thanh-xuan/mua-ban-nha-dat/89388450.htm
"Đường Khương Trung, Phường Khương Trung, Quận Thanh Xuân, Hà Nội",45.0,,Hoàn thiện cơ bản,4,4,,0.006200000000000001,Nở hậu,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-thanh-xuan/mua-ban-nha-dat/88343166.htm
"Đường Thọ Am, Xã Liên Ninh, Huyện Thanh Trì, Hà Nội",60.0,Nam,,3,4,3,2.15,,Hẻm xe hơi,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/huyen-thanh-tri/mua-ban-nha-dat/88945307.htm
"Đường Minh Khai, Quận Hai Bà Trưng, Hà Nội",40.0,,,3,3,5,3.3,,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-hai-ba-trung/mua-ban-nha-dat/89390182.htm
"Đường Khâm Thiên, Phường Khâm Thiên, Quận Đống Đa, Hà Nội",23.0,,,3,2,3,2.28,,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-dong-da/mua-ban-nha-dat/89390186.htm
"Đường Bằng Liệt, Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội",36.0,,,4,3,6,3.5,,Hẻm xe hơi,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-hoang-mai/mua-ban-nha-dat/89382759.htm
"22, Đường Tôn Thất Tùng, Phường Trung Liệt, Quận Đống Đa, Hà Nội",45.0,Tây Nam,Nội thất đầy đủ,5,9,6,4.68,,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-dong-da/mua-ban-nha-dat/89278982.htm
"Đường Trần Bình, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội",53.0,,Nội thất cao cấp,5,5,5,5.3,,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-cau-giay/mua-ban-nha-dat/89381908.htm
"Đường Doãn Kế Thiện, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội",50.0,,,3,4,4,5.25,,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-cau-giay/mua-ban-nha-dat/89382342.htm
"Đường Yên Hòa, Phường Trung Hoà, Quận Cầu Giấy, Hà Nội",42.0,,,5,4,5,4.6,Nở hậu,,Nhà ở,Nhà mặt phố,https://nha.chotot.com/ha-noi/quan-cau-giay/mua-ban-nha-dat/89382321.htm
"2, Đường Định Công Hạ, Phường Định Công, Quận Hoàng Mai, Hà Nội",45.0,,,1,2,2,1.5,,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-hoang-mai/mua-ban-nha-dat/88312377.htm
"Đường Trung Kính, Phường Trung Hoà, Quận Cầu Giấy, Hà Nội",52.0,,,5,5,,9.2,,,Nhà ở,Nhà mặt phố,https://nha.chotot.com/ha-noi/quan-cau-giay/mua-ban-nha-dat/89098378.htm
"Đường Hồng Mai, Phường Quỳnh Mai, Quận Hai Bà Trưng, Hà Nội",14.3,,,3,3,5,1.3,,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-hai-ba-trung/mua-ban-nha-dat/89381876.htm
"Đường Hoàng Quốc Việt, Phường Nghĩa Tân, Quận Cầu Giấy, Hà Nội",32.0,,Nội thất đầy đủ,,3,5,4.5,Nở hậu,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-cau-giay/mua-ban-nha-dat/89382100.htm
"Đường Lê Đức Thọ, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội",46.0,,,3,4,,3.65,,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-nam-tu-liem/mua-ban-nha-dat/89381372.htm
"Đường Kim Ngưu, Phường Thanh Nhàn, Quận Hai Bà Trưng, Hà Nội",45.0,,Nội thất đầy đủ,4,4,5,3.0,,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-hai-ba-trung/mua-ban-nha-dat/89381773.htm
"Đường Hồ Tùng Mậu, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội",33.0,,Nội thất đầy đủ,4,4,5,3.4,Nở hậu,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-cau-giay/mua-ban-nha-dat/89382337.htm
"Đường Tam Trinh, Phường Yên Sở, Quận Hoàng Mai, Hà Nội",47.0,,,5,5,5,4.6,,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-hoang-mai/mua-ban-nha-dat/89382279.htm
"Bồ Đề, Phường Bồ Đề, Quận Long Biên, Hà Nội",40.0,,,3,3,,3.3,,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-long-bien/mua-ban-nha-dat/89381221.htm
"Đường Ngõ Gốc Đề, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội",38.0,,,5,4,,3.2,,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-hoang-mai/mua-ban-nha-dat/89382188.htm
"Đường Võ Chí Công, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội",73.0,,,2,5,,7.5,,,Nhà ở,Nhà phố liền kề,https://nha.chotot.com/ha-noi/quan-cau-giay/mua-ban-nha-dat/89382098.htm
"Đường Trần Duy Hưng, Phường Trung Hoà, Quận Cầu Giấy, Hà Nội",62.0,Đông Nam,Hoàn thiện cơ bản,2,3,3,6.83,Nở hậu,,Nhà ở,Nhà phố liền kề,https://nha.chotot.com/ha-noi/quan-cau-giay/mua-ban-nha-dat/89129355.htm
"Đường Yên Lãng, Phường Láng Hạ, Quận Đống Đa, Hà Nội",24.0,,Nội thất cao cấp,4,3,5,2.7,Nở hậu,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-dong-da/mua-ban-nha-dat/89379835.htm
"Đường Yên Lộ, Phường Yên Nghĩa, Quận Hà Đông, Hà Nội",36.0,Đông Nam,Hoàn thiện cơ bản,3,3,3,1.54,,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-ha-dong/mua-ban-nha-dat/88997337.htm
"Yên Hòa, Phường Yên Hoà, Quận Cầu Giấy, Hà Nội",50.0,,,5,4,,5.4,,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-cau-giay/mua-ban-nha-dat/89377229.htm
"Đường Trần Quốc Vượng, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội",50.0,,Nội thất cao cấp,6,6,6,13.0,,,Nhà ở,Nhà mặt phố,https://nha.chotot.com/ha-noi/quan-cau-giay/mua-ban-nha-dat/88965494.htm
"Đường Thụy Khuê, Phường Bưởi, Quận Tây Hồ, Hà Nội",51.0,,Nội thất đầy đủ,4,3,,5.9,,Hẻm xe hơi,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-tay-ho/mua-ban-nha-dat/89376191.htm
"Đường Nguyễn Trãi, Phường Thanh Xuân Bắc, Quận Thanh Xuân, Hà Nội",60.0,,Nội thất cao cấp,6,5,5,11.2,Nở hậu,Hẻm xe hơi,Nhà ở,Nhà mặt phố,https://nha.chotot.com/ha-noi/quan-thanh-xuan/mua-ban-nha-dat/89348195.htm
"Đường Thái Hà, Phường Ngã Tư Sở, Quận Đống Đa, Hà Nội",63.0,,,Nhiều hơn 6 phòng,10,5,7.0,,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-dong-da/mua-ban-nha-dat/89376113.htm
"Đường Phạm Văn Đồng, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội",33.0,,,,5,5,3.3,,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-bac-tu-liem/mua-ban-nha-dat/89376207.htm
"đường liên thông, Xã Nhị Khê, Huyện Thường Tín, Hà Nội",165.0,,Nội thất đầy đủ,3,4,3,3.8,,,Nhà ở,Nhà mặt phố,https://nha.chotot.com/ha-noi/huyen-thuong-tin/mua-ban-nha-dat/89376190.htm
"Đường Phạm Tuấn Tài, Phường Nghĩa Tân, Quận Cầu Giấy, Hà Nội",50.0,,,4,6,,8.8,,,Nhà ở,Nhà phố liền kề,https://nha.chotot.com/ha-noi/quan-cau-giay/mua-ban-nha-dat/89376402.htm
"46/191/8, Đường Lê Quang Đạo, Phường Phú Đô, Quận Nam Từ Liêm, Hà Nội",44.0,Bắc,,4,4,,0.0038,,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-nam-tu-liem/mua-ban-nha-dat/89377322.htm
"Xã đàn, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội",33.0,,Nội thất đầy đủ,,3,6,4.5,,Hẻm xe hơi,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-dong-da/mua-ban-nha-dat/89376667.htm
"Đường Khâm Thiên, Phường Khâm Thiên, Quận Đống Đa, Hà Nội",50.0,,Nội thất đầy đủ,4,5,5,5.4,,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-dong-da/mua-ban-nha-dat/89376783.htm
"Đường Phương Mai, Phường Phương Mai, Quận Đống Đa, Hà Nội",45.0,,Nội thất đầy đủ,4,4,4,6.8,,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-dong-da/mua-ban-nha-dat/89376816.htm
"Đường Giáp Nhị, Phường Thịnh Liệt, Quận Hoàng Mai, Hà Nội",40.0,,Hoàn thiện cơ bản,1,1,1,2.45,,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-hoang-mai/mua-ban-nha-dat/89376669.htm
"14, Đường Nguyễn Sơn, Phường Bồ Đề, Quận Long Biên, Hà Nội",70.0,,Hoàn thiện cơ bản,3,4,,3.95,,Hẻm xe hơi,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-long-bien/mua-ban-nha-dat/89120312.htm
"Đường Phan Đình Giót, Phường La Khê, Quận Hà Đông, Hà Nội",40.0,,Nội thất cao cấp,3,3,4,2.89,Nở hậu,Hẻm xe hơi,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-ha-dong/mua-ban-nha-dat/89376840.htm
"Đường Thụy Khuê, Quận Ba Đình, Hà Nội",60.0,,Nội thất cao cấp,3,4,4,5.5,,,Nhà ở,Nhà mặt phố,https://nha.chotot.com/ha-noi/quan-ba-dinh/mua-ban-nha-dat/89376847.htm
"Đường Hào Nam, Phường Thịnh Quang, Quận Đống Đa, Hà Nội",25.0,,,4,3,,3.2,,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-dong-da/mua-ban-nha-dat/89376942.htm
"Đường Võng Thị, Phường Thụy Khuê, Quận Tây Hồ, Hà Nội",34.0,Tây Bắc,Nội thất cao cấp,4,3,5,3.25,,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-tay-ho/mua-ban-nha-dat/89376969.htm
